feature,mean_abs_shap,mean_shap
gpu_tier,209.8191634829921,11.641216101703243
display_type,113.02455939826827,3.5967805958407264
cpu_tier,82.0248982617622,0.5138131954906743
os,80.65931854176543,4.938952530141537
cpu_base_ghz,77.42312377202391,2.686938188896438
cpu_threads,63.56455092469634,2.451807880512149
cpu_cores,63.50874618519663,-1.4855037680785184
storage_gb,48.016967969982545,0.26781394627656674
ram_gb,46.13007705647234,0.12946113172681237
brand,44.46174422601775,-0.276062683104275
release_year,43.42585954383309,4.614229000954307
form_factor,37.97193443606028,7.932377783174772
refresh_hz,32.85636192743355,0.17457182714748049
res_width,29.167350553079626,7.077144472153459
has_psu,28.3849866738102,-1.8773139334530575
has_battery,28.384986673810193,-1.8773139334530553
res_height,28.0646150650523,6.734744753255647
res_pixels,26.603619255618913,6.85671684428408
charger_watts,25.358205008902356,-1.7930663662894373
cpu_brand,24.573264111424027,-0.1556692375960489
battery_wh,24.317404922186423,-1.7200053673106026
psu_watts,23.48838399647268,-1.7249884081337004
storage_type,22.945113667261563,-0.8299605495430676
cpu_family,13.305207033346132,0.599899542534774
power_watts,12.829181804310911,-0.6551829017124962
res_ppi,9.382408175559947,1.2267522835538487
device_type,9.213336533309887,-0.6093476543194375
vram_gb,8.537081960809616,-1.201621072327435
display_size_in,6.846251306148534,-0.45949006463572517
res_aspect,6.635548243516902,0.2297373169444227
resolution,6.38256522288829,1.2136265767966306
weight_kg,4.364239182234515,-0.659916639773881
gpu_model,4.156188929979311,0.7340548160356865
cpu_boost_ghz,3.819082296807751,-0.3047160382596383
gpu_brand,2.7823854903692804,-0.11419681735926249
model_line,1.9610677537308272,-0.20120822936285246
warranty_months,1.1877455026660266,0.3682946301827817
bluetooth,1.1637220236195314,0.002429818166058587
wifi,0.4525249593183613,-0.048585267802358674
storage_drive_count,0.3430748141706901,-0.016990913160338204
