column,mean_abs_shap,mean_shap
gpu_tier,176.87695288696926,-4.736951571734001e-16
ram_gb,81.86565822859941,2.3684757858670006e-16
display_type__lvl_OLED,58.537004950855085,3.789561257387201e-15
cpu_tier,58.10866501563858,-3.197442310920451e-15
os__lvl_macOS,56.803718551945586,3.079018521627101e-15
cpu_cores,47.54454992474713,-1.4210854715202005e-15
display_type__lvl_LED,43.516012954877894,7.105427357601002e-16
cpu_threads,42.01194756559135,-3.434289889507151e-15
release_year,38.16368360070555,9.473903143468002e-16
cpu_base_ghz,37.204569162974515,2.7977620220553944e-15
refresh_hz,35.84749818824114,-5.921189464667501e-16
display_type__lvl_Mini-LED,28.990055514601128,5.921189464667501e-17
brand__lvl_Acer,27.992558092917463,-5.210646728907401e-15
storage_gb,25.923270898558957,-1.1250259982868252e-15
res_width,25.381440209625318,7.105427357601002e-16
res_pixels,24.694787034502422,9.473903143468002e-16
res_height,24.02173645409579,1.8947806286936005e-15
brand__lvl_Apple,22.040518031755816,4.144832625267251e-15
cpu_brand__lvl_Apple,22.04051803175572,1.0066022089934752e-15
storage_type__lvl_HDD,20.654112808436164,7.697546304067752e-16
form_factor__lvl_Ultrabook,19.88242272155446,-3.789561257387201e-15
os__lvl_Windows,19.68041766407752,-4.144832625267251e-16
storage_gb__lvl_256,18.936789401782303,-1.7763568394002506e-16
cpu_brand__lvl_Intel,17.381446227614138,-4.144832625267251e-16
display_type__lvl_IPS,16.77594491807763,-2.1316282072803005e-15
form_factor__lvl_Mainstream,16.471635753994807,-9.177843670234628e-16
cpu_brand__lvl_AMD,14.329730009038762,-1.8947806286936005e-15
missingindicator_charger_watts,13.762423183217724,1.3618735768735254e-15
missingindicator_battery_wh,13.762423183217724,1.3618735768735254e-15
has_psu,13.762423183217713,1.3026616822268502e-15
has_battery,13.762423183214683,-4.736951571734001e-16
missingindicator_psu_watts,13.762423183210563,5.921189464667501e-16
gpu_tier__lvl_1,12.553991380971125,3.552713678800501e-16
cpu_base_ghz__lvl_2.6,12.520591258969764,-1.1842378929335002e-15
cpu_base_ghz__lvl_2.4,12.125677379796887,7.105427357601002e-16
storage_type__lvl_NVMe,12.076469360684932,1.3618735768735254e-15
storage_gb__lvl_1024,11.247334177481841,8.585724723767877e-16
os__lvl_Linux,9.981436749422993,-6.217248937900876e-16
display_type__lvl_VA,9.970858447163875,0.0
form_factor__lvl_ATX,8.49755967833367,-6.217248937900876e-16
gpu_tier__lvl_2,8.462565607776225,-1.2434497875801752e-15
cpu_threads__lvl_16,8.28905545320273,3.552713678800501e-16
cpu_family__lvl_Intel i7,8.139219957887123,1.7763568394002506e-16
power_watts,7.945064343729829,-3.7007434154171886e-16
form_factor__lvl_2-in-1,7.930029505185768,1.1546319456101628e-15
display_size_in,7.915724860565471,-3.552713678800501e-16
cpu_base_ghz__lvl_2.0,7.341390962133931,9.769962616701378e-16
storage_type__lvl_SSD,7.165698256381513,2.960594732333751e-17
cpu_base_ghz__lvl_2.8,6.840068218975384,-1.5395092608135505e-15
gpu_tier__lvl_5,6.832568519876519,-1.2878587085651815e-15
cpu_boost_ghz,6.474194857578752,7.401486830834377e-18
display_type__lvl_QLED,6.361782724748576,-1.080617077301819e-15
res_ppi,6.247376742346516,-1.7023419710919068e-16
cpu_tier__lvl_3,6.194223941448418,-9.473903143468002e-16
form_factor__lvl_Workstation,6.083401429214076,-4.4408920985006264e-17
refresh_hz__lvl_120,6.020984103846191,1.4802973661668755e-15
cpu_family__lvl_Intel i5,5.965209789854904,-2.3684757858670006e-16
vram_gb,5.591344954449833,2.960594732333751e-17
brand__lvl_ASUS,5.486912900842077,7.105427357601002e-16
wifi__lvl_Wi-Fi 6,5.47837484698137,-1.7763568394002506e-16
gpu_tier__lvl_6,5.336688701877081,1.3322676295501878e-15
brand__lvl_HP,5.289192404321759,-2.812564995717063e-16
warranty_months__lvl_36,5.1739401066678665,4.588921835117314e-16
cpu_tier__lvl_2,5.0984417940680204,0.0
ram_gb__lvl_8,5.035423005966288,2.516505522483688e-16
display_size_in__lvl_15.6,5.0324516975939195,1.4506914188435379e-15
refresh_hz__lvl_60,4.963602273418257,9.177843670234628e-16
cpu_cores__lvl_8,4.759874798000863,2.6645352591003756e-16
vram_gb__lvl_2,4.569008152204882,-4.2928623618839387e-16
storage_gb__lvl_2048,4.4743608969703095,9.917992353318065e-16
storage_type__lvl_Hybrid,4.439926394721894,-1.1842378929335003e-16
warranty_months,4.433007688309567,2.3684757858670006e-16
battery_wh,4.332292017895202,-3.2566542055671256e-16
form_factor__lvl_SFF,4.314322275656761,-1.1250259982868252e-15
resolution__lvl_1920x1080,4.1357703761358495,3.108624468950438e-16
res_pixels__lvl_2073600,4.135770376135683,3.108624468950438e-16
res_width__lvl_1920,4.1357703761356825,1.3322676295501878e-16
res_height__lvl_1080,4.135770376135678,2.6645352591003756e-16
weight_kg,4.050088457314434,8.141635513917814e-17
cpu_base_ghz__lvl_2.2,3.9332012200921254,5.773159728050814e-16
warranty_months__lvl_12,3.7100403617931037,-2.6645352591003756e-16
cpu_family__lvl_AMD Ryzen 5,3.6839382125442106,2.3684757858670006e-16
wifi__lvl_Wi-Fi 5,3.6772614046635868,2.220446049250313e-16
refresh_hz__lvl_144,3.601090267775464,0.0
vram_gb__lvl_0,3.489083547130031,-2.3684757858670006e-16
charger_watts,3.4568181136188603,2.3684757858670006e-16
bluetooth__lvl_5.3,3.4547907397343733,-8.881784197001253e-17
device_type__lvl_Desktop,3.2931792780597866,-2.812564995717063e-16
psu_watts__lvl___missing__,3.293179278059786,-7.401486830834377e-17
has_psu__lvl_0,3.293179278059786,-3.108624468950438e-16
has_battery__lvl_1,3.2931792780597764,-1.924386576016938e-16
device_type__lvl_Laptop,3.2931792780597657,-2.960594732333751e-17
has_psu__lvl_1,3.2931792780597244,-1.924386576016938e-16
has_battery__lvl_0,3.293179278059722,2.960594732333751e-17
charger_watts__lvl___missing__,3.2931792780597204,0.0
battery_wh__lvl___missing__,3.29317927805972,-1.3322676295501878e-16
display_size_in__lvl_27.0,3.276374206487676,3.9968028886505636e-16
brand__lvl_Razer,3.257492977477811,-5.255055649892408e-16
cpu_tier__lvl_6,3.178253136667861,7.401486830834377e-18
bluetooth__lvl_5.0,3.056095869366486,2.1464311809419693e-16
release_year__lvl_2025,3.0089750117730167,7.401486830834377e-16
brand__lvl_Samsung,3.004678939966489,5.773159728050814e-16
model_line__lvl_Pro,2.999564572574628,-8.881784197001253e-17
cpu_cores__lvl_12,2.9389565819090637,3.9227880203422196e-16
ram_gb__lvl_96,2.79647224908944,-2.294460917558657e-16
brand__lvl_Lenovo,2.776150255697368,-2.516505522483688e-16
